Time,Average Daily Flow,West_Count,West_Percentage,East_Count,East_Percentage
07:00:00,1229,498,40.6,730,59.4
08:00:00,2139,768,35.9,1371,64.1
09:00:00,1792,744,41.5,1048,58.5
10:00:00,1557,711,45.7,846,54.3
11:00:00,1800,831,46.2,969,53.8
12:00:00,2151,1026,47.7,1124,52.3
13:00:00,2313,1130,48.9,1182,51.1
14:00:00,2350,1190,50.7,1159,49.3
15:00:00,2566,1343,52.3,1223,47.7
16:00:00,2890,1588,54.9,1303,45.1
17:00:00,2846,1566,55.0,1280,45.0
18:00:00,2175,1166,53.6,1009,46.4
19:00:00,1554,830,53.4,725,46.6
